69.25,0.12292,1,64,120,1161.8,2.0622
69.375,0.12292,1,63,96,1163.9,2.0622
69.5,0.12292,1,64,120,1166,2.0622
69.625,0.12292,1,63,96,1168.1,2.0622
69.75,0.12292,1,64,120,1170.2,2.0622
69.875,0.12292,1,63,96,1172.3,2.0622
70,0.49792,1,56,88,1174.4,8.3537
71,0.1625,1,63,80,1191.2,2.7263
71.165,0.1625,1,64,80,1193.9,2.7263
71.331,0.1625,1,66,80,1196.7,2.7263
71.5,2.4979,1,68,98,1199.6,41.908
74,1.7479,1,68,87,1241.5,29.325
75.75,0.12292,1,67,80,1270.9,2.0622
75.875,0.12292,1,69,86,1273,2.0622
76,0.74792,1,66,87,1275.1,12.548
76.75,0.12292,1,65,93,1287.7,2.0622
76.875,0.12292,1,67,94,1289.7,2.0622
77,0.24792,1,64,90,1291.8,4.1594
77.25,0.24792,1,63,88,1296,4.1594
77.5,0.24792,1,62,87,1300.2,4.1594
77.75,0.24792,1,59,87,1304.4,4.1594
78,1.2479,1,68,112,1308.6,20.937
79.25,0.24792,1,71,80,1329.6,4.1594
79.5,0.10417,1,74,80,1333.8,1.7476
79.606,0.13958,1,72,80,1335.6,2.3418
79.75,0.24792,1,71,80,1338,4.1594
80,1.7479,1,68,88,1342.2,29.325
81.75,0.12292,1,67,77,1371.5,2.0622
81.875,0.12292,1,69,86,1373.6,2.0622
82,0.74792,1,66,88,1375.7,12.548
82.75,0.12292,1,65,79,1388.3,2.0622
82.875,0.12292,1,67,89,1390.4,2.0622
83,0.24792,1,64,78,1392.5,4.1594
83.25,0.24792,1,63,80,1396.7,4.1594
83.5,0.24792,1,62,77,1400.9,4.1594
83.75,0.24792,1,59,79,1405.1,4.1594
84,0.16458,1,56,46,1409.3,2.7612
84.167,0.16458,1,55,47,1412.1,2.7612
84.333,0.16458,1,57,65,1414.9,2.7612
84.5,0.16458,1,54,79,1417.7,2.7612
84.667,0.16458,1,53,88,1420.5,2.7612
84.833,0.16458,1,55,98,1423.3,2.7612
